X,f(X)
-3.141592653589793,NaN
-3.041592653589793,-198.1782555310111
-2.941592653589793,-48.20259995327345
-2.841592653589793,-20.456540853694158
-2.7415926535897928,-10.754236626542777
-2.6415926535897927,-6.235561780139466
-2.5415926535897926,-3.6941467985673766
-2.4415926535897925,-1.9826698395901405
-2.3415926535897924,-0.5398528347419349
-2.2415926535897923,1.0611857366229915
-2.1415926535897922,3.3990683798381074
-2.041592653589792,7.7225770837953185
-1.941592653589792,17.706996150144047
-1.841592653589792,48.14529361454777
-1.7415926535897919,197.57217294285172
-1.6415926535897918,2811.0349601043863
-1.5415926535897917,-40133.0328239704
-1.4415926535897916,-459.64986500908617
-1.3415926535897915,-80.67439596161458
-1.2415926535897914,-26.247009656415088
-1.1415926535897913,-11.148980145187279
-1.0415926535897913,-5.390584656113557
-0.9415926535897913,-2.716691556000587
-0.8415926535897913,-1.2831326399350553
-0.7415926535897913,-0.4178177693360614
-0.6415926535897913,0.16018729768682394
-0.5415926535897914,0.5782368960060605
-0.4415926535897914,0.8956835702137383
-0.3415926535897914,1.1391352501392051
-0.2415926535897914,1.3189089922398247
-0.1415926535897914,1.437523378195155
